stationid,name,longitude,latitude ,free_bikes,empty_slots,total_bikes
72bfd647b3d2b650546f42319729757d,Cégep Marie-Victorin,-73.60601127147675,45.617499783128075,0,11,11
36c6491aa1b52e5ef7005f984738de27,Gare d'autocars de Montréal (Berri / Ontario),-73.56425732374191,45.516926210319546,13,1,14
30f081e03c42b3e7b3a5c4cd5acc3286,Molson / William-Tremblay,-73.56501236557959,45.54154850456526,3,7,10
8db822a266b5ccb3a1e323ddc8721d62,Ateliers municipaux de St-Laurent (Cavendish / Poirier),-73.71118605136871,45.506175841460966,5,14,19
660275cd7d4368cc7590f1606c633bd6,Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),-73.68249848484993,45.5129938566323,5,14,19
fddada5adc997290212b3f540c017274,Centre des loisirs (Tassé / Grenet),-73.69144901633263,45.51473429416659,3,12,15
83d02cd8a043b8305a4031063005d32e,Parc Marlborough (Beauzèle / Robichaud),-73.72167885303497,45.52234149817879,6,9,15
888e6052f1aebab8d8a527776b3499b6,Champdoré / de Lorimier,-73.64101678133011,45.566869345371856,7,7,14
3f191c8f95dbf309762b54dbb656522b,Parc Villeray (Christophe-Colomb / Jarry),-73.62434014678001,45.54813638885782,3,9,12
f3e8bbaffc3930bc19681467b42595cf,Beurling / Godin,-73.58381867408752,45.44791581215845,10,8,18
1ffa6ec805ef0a7803b86fa6bef5c1af,Kirkfield / de Chambois,-73.63389015197754,45.51293324107222,15,4,19
65fcf6251f8e1caef9d4ec19d3c37f64,Parc des Rapides (LaSalle / 6e avenue),-73.59309915918857,45.42947143740888,0,23,23
17a401a4d9de7e987b12cbc5686cadc2,Métro Longueuil - Université de Sherbrooke,-73.52012693881989,45.52331869398737,13,16,29
6832a18f263cc93c01c71013a19baa8f,St-Charles / Montarville,-73.51526074111462,45.53368199320325,8,7,15
04840a5047543df6a5ff4f78ccc64a04,Collège Édouard-Montpetit (de Gentilly / de Normandie),-73.49506705999374,45.53722603812578,8,10,18
2a20aa1c87cc30a2968fe04fe4e5b0df,Place Longueuil,-73.51716578006744,45.52841043752244,5,6,11
734e36f9bfc759c9c5b1b9b44a85966e,Place du Commerce,-73.54259,45.46714,1,30,31
65f5707d61306518123222b4680bc282,Marché Maisonneuve,-73.53978216648102,45.55321884238814,3,19,22
66bb98a5d35f74c7cc6f5951b7c78e4f,Parc Maisonneuve (Viau / Sherbrooke),-73.5555911064148,45.56493679334249,5,18,23
a7671fb398de9ac6bd6bc552b5323b7a,Parc Kent (de Kent / Hudson),-73.62945914268494,45.5057209331225,2,24,26
b2dd9e0ffd50946d9c569a4684613fb4,Métro Champ-de-Mars (Viger / Sanguinet),-73.55663707494385,45.51016276368593,0,31,31
0e58810dea9e4869279089cb8576642f,Rachel / de Brébeuf,-73.57264,45.52689,26,2,28
5f87ab3bfe9c4289033da69a74957d0e,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),-73.50041270256041,45.65140583915357,10,5,15
23f1b244e618444f565f402a81c585d6,Parc St-Laurent (Salk / Thomas-Chapais),-73.6287838,45.6062348,10,8,18
3cc8af25d891cb13e3301e4a612d0383,Notre-Dame / St-Gabriel,-73.55511903762817,45.50714391928411,2,13,15
517c47dab7563036263420e5eb1526a6,Casino de Montréal,-73.52457672,45.5063732,6,12,18
4c422c0fa82a3c9954a411ba87f52901,La Ronde,-73.53533238172531,45.52156536710626,18,1,19
dbe6f3be853e1100918aa06b6418eb86,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),-73.6394852399826,45.45750908083069,1,22,23
d45cc49cea4480b9116b1363dcc5355d,Parc Labelle (LaSalle / Henri-Duhamel),-73.56998920440674,45.47256100297732,16,1,17
