stationid,name,longitude,latitude ,free_bikes,empty_slots,total_bikes
45dbb0009135e465f49f054517cbe74d,Hess at king,-79.87721174955368,43.259125842121065,5,7,12
cd881edad122a75c57d94b381cdfc6c0,Bayfront Park,-79.87132698297499,43.269288276229105,7,26,33
024a3edf037cb411d16acc08a7fcb954,Bay at Strachan,-79.8679232597351,43.26785864558976,7,17,24
b933317ff2861c45aacbea4cbf4b541f,Bay at Mulberry,-79.87180307507515,43.263198441574474,2,11,13
20dc109608315db09a8332d6e6940c75,City Hall,-79.8744987564414,43.2561324863605,6,11,17
a386509756e2c2e15483eaaf344fb412,Bay at Bold,-79.8753935613187,43.2538302267771,4,7,11
3527ca2c4e22a011c0615126afce23d5,James S at Charlton,-79.8720555723035,43.2496354495324,8,2,10
337f37f6d8b9db34372c0cfe1a7d2595,Oxford at York,-79.8777937889099,43.26456372689135,8,4,12
8bd4d92cf10d53a1b69805e875ca2001,Queen at Peter,-79.877606006297,43.2618861338306,3,8,11
95c24984959b304fdb8bb3ab251810e9,West at Cannon,-79.8561337635964,43.257877862291,1,12,13
2a91db522d9c3f209772a8f35b8ee4e1,Forsyth at Sterling,-79.91580605506897,43.26271404114188,10,25,35
1846562b60f9d9469c055fed1d84898e,Gage at Cannon - ERI11,-79.82740849256516,43.25112644429895,6,3,9
630c0983a0b38edfc8772e7b45c8dab1,H.A.A.A. Park,-79.8819466027797,43.2540651616154,3,6,9
f5019394e945492c7644ad38a0db33ce,Hunter at Hess,-79.87889617681503,43.255383107655966,10,6,16
39c08c3439e8b49ff26c7d7d9dfe6ed1,Dunsmure at Sherman - ERI10,-79.8388883471489,43.24943274108067,0,9,9
18ed716ef5002294aaa2ff40b3fd8921,King at Dunsmure - ERI09,-79.82685998082161,43.24634382646498,7,2,9
91fa730ae5a6c44945e897d27119a5f2,Locke at Napier,-79.8827367298478,43.2628018805713,5,7,12
5abbf86662e318c18e2e8eb448f2e5c8,York at Inchbury,-79.8819495909127,43.2659146108256,4,9,13
17dcbb977faa236652d5f039ee54eab5,Aberdeen at Queen,-79.8836993988543,43.2488085584277,6,7,13
